id,name,neighborhood_overview,host_id,host_since,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms_text,beds,amenities,price,minimum_nights,maximum_nights,availability_30,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month
103875,Rental unit in The Hague · ★4.79 · 1 bedroom · 1 bed · 1.5 baths,"This neighborhood is great, students, expats and a lot of artist. Incredibly many and good restaurants, boat cafes on and along the canal. It is a special neighborhood, full of diversity of people. Chinatown is around the corner, the parliament 5 min. from your house and the bakery and supermarket around the corner. Many terraces and shops. if you want peace and tranquility, just 600 meters away you can walk into the forest and from there the beautiful dune area. You can rent bicycles on the canal, all within walking distance",541315,4/28/2011,"We are a friendly couple who live in the center of this beautiful city. Open-minded and easy going in life. We have a few trendy short Stay apartments right in the old city center of The Hague.  We are the place to stay When you are in need of accommodation. Whether it be for a business trip, an internship, a holiday or a transition period, we have plenty of possibilities. We have been around for a while and we know how to do things right. Service is our pleasure!

Our apartment is fully furnished, newly renovated and available for short term rentals Throughout the Year. Situated in the picturesque old city center of The Hague, within walking distance from both Central Station and Holland Spoor train station, it is the ideal 'home away from home'. Also within walking distance, one can find numerous at shops, grocery stores and restaurants. The all-in price includes furniture, fittings and fixtures, energy, water, internet connection, TV, service costs and a janitor. And of course there's a washing machine and a drier, pots and pans, bed linen, towels, a bathrobe, iron and ironing board, cups, plates and whatsoever.",within an hour,100%,100%,f,3,t,t,Zuidwal,Entire rental unit,Entire home/apt,2,1.5 baths,1,[],$125.00 ,4,1125,0,0,20,4.79,4.9,4.85,5,5,4.95,4.85,f,0.14
378711,Loft in The Hague · ★4.52 · Studio · 2 beds · 1 private bath,Onze groene en rustige buurt ligt zeer gunstig; op loopafstand (20 min) van strand en dichtbij het centrum.,1902132,3/11/2012,"Hai there, since 2010 we are happy to welcome quests in our beautiful house. We are happy to hear that they also entjoy our surrending, the beach, dunes and cities.",N/A,N/A,71%,f,3,t,t,Duttendel,Private room in loft,Private room,2,1 private bath,2,[],$120.00 ,3,1125,0,237,25,4.52,4.6,4.52,4.92,4.84,4.68,4.12,f,0.44
450807,Rental unit in The Hague · ★4.79 · 1 bedroom · 1 bed · 1.5 baths,Theresiastraat: nice restaurants and shops around the corner.<br />Forest (Haagse bos) to run is 3 minutes walk.,2238496,4/27/2012,Welcome to Zen in de City. We are a family that live in a comfortable house on the groundfloor with garden in the middle of Den Haag. With nice restaurants and shop just around the corner. It is also close to the sea (20 minutes on bike). We surf in Scheveningen. We like to share our nice typical Dutch place with people all over the world. So feel free and welcome to stay with us.,within an hour,100%,67%,f,1,t,t,Bezuidenhout-Midden,Entire rental unit,Entire home/apt,3,1.5 baths,1,[],$150.00 ,1,24,0,195,127,4.79,4.79,4.79,4.89,4.82,4.96,4.81,f,0.9
492615,Condo in The Hague · ★4.51 · 1 bedroom · 2 beds · 1.5 shared baths,,1003354,8/22/2011,"I'm an American Expat with dual nationality living now 28 years in the Netherlands. I really enjoy the Netherlands as my adopted home country and have no plans to return to the US other than for visits.

On a personal level, I have three daughters 25 , 30 and 44 with the two youngest growing up in the Netherlands and attending Dutch schools. 

Two of the three lived in the US : Washington DC and New York ( but now Marseille)  

My 30 year old moved first back to Holland 8 years ago , then Brussels and now Helsinki and is active in the environmental movement .

My oldest owns a home in Williamsburg, Brooklyn ( now living in Marseille) and founded an environmental NGO 14+ years ago ( Human Impacts Institute) and has a  5 year old daughter.

Lastly my youngest moved to DC 2 years ago after graduating 5 years ago from College of Charleston with high honors in International relations and political science. 

You wouldn't be wrong to deduce that I'm quite proud of these three lovely ladies.

As for myself, I have traveled a lot over the last 40 + years for both work and pleasure and really enjoy meeting people so when I first heard of Airbnb almost 13  years ago, the concept of Airbnb appealed to me.

On a personal level, I have had an interesting career in high-tech international sales management. In my pleasure time I have quite varied interests but I am very much an outdoors person. I enjoy sailing, tennis, biking, camping, skiing etc. and I am as well a classical musician and a world class tournament bridge player. 

I have always loved to travel and meet people and have been doing just that since my teenage years when I hitchhiked with hair to my waist, a biker jacket and a backpack from Washington DC to San Francisco in the middle of the Hippy Era 1971 . ... can't say I regret it !!

Back to the present: 

I renovated my 3 bedroom flat in Centrum Den Haag 15 years ago when my two then teenage daughters still lived in the Netherlands and spent weekends with me. 

I then set up the two small bedrooms in my 3 bedroom flat with bunk beds to accomodate friends staying over.

Before I began hosting through Airbnb,  I occasionally rented  out a room to interns/foreign students and now have been hosting for the last 12 years through Airbnb. 

Hosting with Airbnb has been overall a very interesting and rewarding experience. 

I have found almost without exception my Airbnb guests from all over the world and from very differing backgrounds to be very interesting , considerate and nice to be around.

As you are now reading my profile, I hope that you will consider staying at my flat and I  look forward to welcoming you to my home and my adopted city of Den Haag.

Regards,

Paul ",within an hour,100%,99%,f,2,t,t,Schildersbuurt-West,Private room in condo,Private room,2,1.5 shared baths,2,[],$49.00 ,2,12,23,236,385,4.51,4.61,4.06,4.86,4.88,4.59,4.58,f,2.75
523633,Rental unit in Den Haag · ★4.70 · 1 bedroom · 1 bed · 1 bath,"We are close to the city centre, it's just a 10 minute walk! There are many interesting restaurants and shops nearby, all within walking distance. There is public transportation hub right in front of the Tower with connections to places both in- and outside The Hague. In this authentic The Hague neighborhood you will be able to feel like a local.We are close to the city centre, it's just a 10 minute walk! There are many interesting restaurants and shops nearby, all within walking distance. There is public transportation hub right in front of the Tower with connections to places both in- and outside The Hague. In this authentic The Hague neighborhood you will be able to feel like a local. <br /><br />We will supply you with a digital guide with some of our best recommendations.",300966,11/27/2010,"I am an advertising and event consultant. I live in the centre of The Hague, The Netherlands and really enjoy traveling. I have enjoyed AirBnB like hospitality in many countries, so now it's time to return the favor. Welcome!",within an hour,100%,99%,t,22,t,t,Laakhaven-Oost,Entire rental unit,Entire home/apt,2,1 bath,1,[],$219.00 ,1,1125,0,0,409,4.7,4.8,4.6,4.8,4.77,4.66,4.71,t,2.92
628445,Serviced apartment in Den Haag · ★4.64 · 1 bedroom · 1 bed · 1 bath,"We are close to the city centre, it's just a 10 minute walk! There are many interesting restaurants and shops nearby, all within walking distance. There is public transportation hub right in front of the Tower with connections to places both in- and outside The Hague. In this authentic The Hague neighborhood you will be able to feel like a local. <br /><br />We will supply you with a digital guide with some of our best recommendations.",300966,11/27/2010,"I am an advertising and event consultant. I live in the centre of The Hague, The Netherlands and really enjoy traveling. I have enjoyed AirBnB like hospitality in many countries, so now it's time to return the favor. Welcome!",within an hour,100%,99%,t,22,t,t,Huygenspark,Entire serviced apartment,Entire home/apt,2,1 bath,1,[],$248.00 ,1,1125,24,359,263,4.64,4.79,4.45,4.74,4.72,4.59,4.56,t,1.91
635931,Rental unit in Den Haag · ★4.65 · 1 bedroom · 1 bed · 1 bath,"We are close to the city centre, it's just a 10 minute walk! There are many interesting restaurants and shops nearby, all within walking distance. There is public transportation hub right in front of the Tower with connections to places both in- and outside The Hague. In this authentic The Hague neighborhood you will be able to feel like a local. <br /><br />We will supply you with a digital guide with some of our best recommendations.",300966,11/27/2010,"I am an advertising and event consultant. I live in the centre of The Hague, The Netherlands and really enjoy traveling. I have enjoyed AirBnB like hospitality in many countries, so now it's time to return the favor. Welcome!",within an hour,100%,99%,t,22,t,t,Rivierenbuurt-Zuid,Entire rental unit,Entire home/apt,2,1 bath,1,[],$223.00 ,1,1125,7,340,148,4.65,4.63,4.37,4.66,4.7,4.61,4.6,t,1.07
635974,Rental unit in Den Haag · ★4.57 · 1 bedroom · 1 bed · 1 bath,"We are close to the city centre, it's just a 10 minute walk! There are many interesting restaurants and shops nearby, all within walking distance. There is public transportation hub right in front of the Tower with connections to places both in- and outside The Hague. In this authentic The Hague neighborhood you will be able to feel like a local. <br /><br />We will supply you with a digital guide with some of our best recommendations.",300966,11/27/2010,"I am an advertising and event consultant. I live in the centre of The Hague, The Netherlands and really enjoy traveling. I have enjoyed AirBnB like hospitality in many countries, so now it's time to return the favor. Welcome!",within an hour,100%,99%,t,22,t,t,Huygenspark,Entire rental unit,Entire home/apt,2,1 bath,1,[],$272.00 ,1,1125,0,296,231,4.57,4.68,4.42,4.77,4.68,4.62,4.52,t,1.69
641820,Rental unit in The Hague · ★4.59 · 2 bedrooms · 1 bed · 1.5 baths,Benoordenhout (the neigborhood where my B&B is) is a wonderfull quiet part of The Hague.,3206829,8/9/2012,"Op mijn eigen reizen heb ik vaak gebruikt gemaakt van kleine B&B's.

De gastvrijheid, het persoonlijke contact en de kleinschaligheid heeft mij altijd aangetrokken.

Toen ik mijn appartement in Benoordenhout betrok, ben ik naar dit idee mijn eigen B & B gestart.

Ik heb een eigen atelier, waar ik werk aan schilderopdrachten.
Ik luister veel naar muziek, speel piano en zing in koren.


",within an hour,100%,71%,f,1,t,t,Duinzigt,Entire rental unit,Entire home/apt,2,1.5 baths,1,[],$80.00 ,2,30,15,326,259,4.59,4.75,4.88,4.87,4.86,4.64,4.53,f,2.03
730922,Condo in The Hague · ★4.48 · 1 bedroom · 1 bed · 1.5 shared baths,,1003354,8/22/2011,"I'm an American Expat with dual nationality living now 28 years in the Netherlands. I really enjoy the Netherlands as my adopted home country and have no plans to return to the US other than for visits.

On a personal level, I have three daughters 25 , 30 and 44 with the two youngest growing up in the Netherlands and attending Dutch schools. 

Two of the three lived in the US : Washington DC and New York ( but now Marseille)  

My 30 year old moved first back to Holland 8 years ago , then Brussels and now Helsinki and is active in the environmental movement .

My oldest owns a home in Williamsburg, Brooklyn ( now living in Marseille) and founded an environmental NGO 14+ years ago ( Human Impacts Institute) and has a  5 year old daughter.

Lastly my youngest moved to DC 2 years ago after graduating 5 years ago from College of Charleston with high honors in International relations and political science. 

You wouldn't be wrong to deduce that I'm quite proud of these three lovely ladies.

As for myself, I have traveled a lot over the last 40 + years for both work and pleasure and really enjoy meeting people so when I first heard of Airbnb almost 13  years ago, the concept of Airbnb appealed to me.

On a personal level, I have had an interesting career in high-tech international sales management. In my pleasure time I have quite varied interests but I am very much an outdoors person. I enjoy sailing, tennis, biking, camping, skiing etc. and I am as well a classical musician and a world class tournament bridge player. 

I have always loved to travel and meet people and have been doing just that since my teenage years when I hitchhiked with hair to my waist, a biker jacket and a backpack from Washington DC to San Francisco in the middle of the Hippy Era 1971 . ... can't say I regret it !!

Back to the present: 

I renovated my 3 bedroom flat in Centrum Den Haag 15 years ago when my two then teenage daughters still lived in the Netherlands and spent weekends with me. 

I then set up the two small bedrooms in my 3 bedroom flat with bunk beds to accomodate friends staying over.

Before I began hosting through Airbnb,  I occasionally rented  out a room to interns/foreign students and now have been hosting for the last 12 years through Airbnb. 

Hosting with Airbnb has been overall a very interesting and rewarding experience. 

I have found almost without exception my Airbnb guests from all over the world and from very differing backgrounds to be very interesting , considerate and nice to be around.

As you are now reading my profile, I hope that you will consider staying at my flat and I  look forward to welcoming you to my home and my adopted city of Den Haag.

Regards,

Paul ",within an hour,100%,99%,f,2,t,t,Schildersbuurt-West,Private room in condo,Private room,1,1.5 shared baths,1,[],$40.00 ,2,6,5,233,285,4.48,4.63,3.98,4.86,4.94,4.59,4.53,f,2.23
