id,name,neighborhood_overview,host_id,host_since,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms_text,beds,amenities,price,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month
73155,Rental unit in Rotterdam · ★4.95 · 1 bedroom · 1 bed · 1.5 baths,"The apartment is in a quiet side street of the Witte de With. So you are near the restaurants, bars and pubs but you don't have the noise!",381163,2/7/2011,"Hi I'm Kim and I'm an architect. 
I studied at the TU in Delft. The apartment is renewed by myself. I wanted to created a place where you feel at home. It is a combined style of wood some color and comfortable warm furniture.  You are very welcome to find out yourself :)

Take a look at the floor plan between the pictures. The whole apartment is yours! To save money contact me directly via contact info at the floor plan.",within a day,100%,56%,t,1,t,t,Stadsdriehoek,Entire rental unit,Entire home/apt,2,1.5 baths,1,[],$115.00 ,7,1125,117,4.95,4.98,4.97,4.96,4.95,4.97,4.86,f,0.76
77592,Rental unit in Rotterdam · ★4.78 · 1 bedroom · 2 beds · 1 bath,,416305,3/1/2011,"Welcome to Rotterdam! This apartment belongs with Hotel van Walsum, a family-run hotel in a historic building from 1895. We know you will enjoy your stay here.",N/A,N/A,50%,f,2,t,t,Middelland,Entire rental unit,Entire home/apt,2,1 bath,2,[],$150.00 ,2,730,18,4.78,4.72,4.78,4.89,4.61,4.83,4.56,f,0.12
101526,Condo in Rotterdam · ★4.83 · 1 bedroom · 1 bed · 1.5 baths,"Levendige jonge buurt. Bistro op de hoek, Veel leuke winkels, Musea op loopafstand, Bioscoop, openbaar vervoer allemaal in de buurt.",531869,4/24/2011,"I am a mimeplayer as a professional, play theatre acts on festivals, busines parties, weddings, conferences, etc. On the picture is shown me and my husband as ""Henk en Ien"",  our cotton candy act. www.suikerspinmachien.nl.
My initiative to start renting an apartment was inspired by my colleague, who did it already in The Hague, Maff apartment.
now it is, next to my work, my pasion to entertain people and make sure that my guests feel at home.
The apartment is renovated is 2008 with help from an architect, my husband and a few great workers to make it a little palace in Rotterdam. Sometimes, when it is not rented, me and my husband stay there to be on holliday for a night. We always ejoy staying. ",within a few hours,100%,100%,f,1,t,t,Dijkzigt,Entire condo,Entire home/apt,2,1.5 baths,1,[],$125.00 ,7,365,18,4.83,4.88,5,5,5,4.88,4.81,f,0.12
283124,Rental unit in Rotterdam · ★4.72 · 2 bedrooms · 3 beds · 1.5 baths,Bakery (with some other basic shoppings) and snackbar around the corner.<br />Shopping street in 10 minutes walk.,132430732,5/29/2017,,N/A,N/A,N/A,f,2,t,t,Overschie,Entire rental unit,Entire home/apt,4,1.5 baths,3,[],$139.00 ,4,24,192,4.72,4.76,4.55,4.92,4.94,4.37,4.63,f,1.33
539905,Condo in Rotterdam · ★4.92 · 1 bedroom · 1 bed · 1 bath,,2652971,6/16/2012,"This apartment is my ""pied a terre"" in Rotterdam acquired many years ago.  Kralingen, where the apartment is located, was a village until 1895(?) and still feels like a village even though it is only 1 kilometer from the heart of Rotterdam...such as the main public library,  the main fruit and vegetable market and the Hoogstraat (Highstreet or Main St.).

The nearby streets and houses are really lovely, lovely, lovely and very quaint...  Just thinking about taking a walk within a block or two from my apartment lifts my spirits even when I am not at home in Rotterdam.    Rotterdam  is constantly changing and is a great modern city.

It would be my pleasure to give you more info on Rotterdam and the Netherlands ... just let me know what your interests are!
 ",N/A,N/A,N/A,f,1,t,t,Kralingen Oost,Entire condo,Entire home/apt,2,1 bath,1,[],$125.00 ,4,90,24,4.92,4.83,4.83,5,5,4.96,4.79,f,0.18
763422,Bed and breakfast in Rotterdam · ★4.81 · 1 bedroom · 1 private bath,The northern side of Rotterdam Centre is an up-coming area. Here you will find authentic old pre-war houses. The atmosphere is pleasant. There are lots of nice little restaurants.,4024319,10/31/2012,"I'm an event organiser in creative industry, based in Rotterdam, the Netherlands. I live in the city center of Rotterdam for almost 25 years and I can tell you: I love my city. I also like to travel, to take pictures, to watch movies (our Rotterdam Filmfestival is awesome!), read books and to cook. Saturdays I watch my sons football match and I do some groceries on the Rotterdam Market.",within an hour,100%,100%,t,3,t,t,Blijdorp,Private room in bed and breakfast,Private room,2,1 private bath,,[],$114.00 ,2,90,367,4.81,4.89,4.9,4.95,4.93,4.89,4.78,f,2.86
878959,Rental unit in Rotterdam · ★4.95 · 1 bedroom · 1 bed · 1.5 baths,Apartment Rotterdam Noord is situated in a quiet street in a lively neighborhood in Rotterdam Noord. In this area the most small and creative businesses in Rotterdam.,4646003,1/9/2013,"We wonen zelf boven de BnB, hierdoor is het gemakkelijk contact met gasten te hebben. Ik hou van roeien, lezen en ondernemen en vind het leuk nieuwe mensen te ontmoeten. ",N/A,N/A,100%,f,1,t,t,Oude Noorden,Entire rental unit,Entire home/apt,2,1.5 baths,1,[],$93.00 ,6,90,20,4.95,4.94,4.94,5,5,4.74,4.89,f,0.15
880045,Boat in Rotterdam · ★4.86 · 1 bedroom · 3 beds · 1 bath,"The ship is moored in the small harbour of the former Rotterdam water company, right next to its monumental watertower. De Esch is now a residential area, a mix of modern architecture and the old water company buildings.  At walking distance (2 minutes) there is a shopping centre with a supermarket, cafe Tomtom and restaurant De Watertoren (in the watertower).  Also in the area nearby are Erasmus University, business centre Rivium, Arboretum Trompenburg and a nature walking/jogging path along the New Meuse.",4653985,1/10/2013,"I'm an entrepreneur in the leisure field in Rotterdam.
I like meeting people from all parts of the world.
I  enjoy travelling and checking out other B&B's abroad.
I can give my guests a lot of information about Rotterdam and its attractions.
I enjoy rebuilding classic boats in an authentic nautical style.",within a few hours,100%,93%,t,2,t,t,De Esch,Boat,Entire home/apt,6,1 bath,3,[],$150.00 ,3,30,169,4.86,4.92,4.7,4.94,4.9,4.74,4.72,f,1.28
1322782,Home in Rotterdam · ★4.90 · 1 bedroom · 1 bed · 1 shared bath,,6926282,6/15/2013,,a few days or more,40%,42%,f,4,t,t,Nieuwe Westen,Private room in home,Private room,2,1 shared bath,1,[],$70.00 ,3,8,132,4.9,4.87,4.67,4.95,4.95,4.85,4.89,f,1.24
1329363,Earthen home in Rotterdam · ★4.78 · 2 bedrooms · 1 bed · 1.5 shared baths,"The neighbourhood is excellent, safe and quiet.",6926282,6/15/2013,,a few days or more,40%,42%,f,4,t,t,Middelland,Private room in earthen home,Private room,1,1.5 shared baths,1,[],$50.00 ,3,30,78,4.78,4.81,4.63,4.9,4.85,4.86,4.83,f,0.67
